Bedriftsnavn;Adresse;Postnummer;Poststed;Godkjenninger;Organisasjonsnummer
AUTOPARTNER AS;Bomvegen 12B;7725;STEINKJER;BILVERKSTED01, KONTROLLORGAN01;974695618
TTS BIL OG DEKKSENTER AS;Industrivn.11;8900;Brønnøysund;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04;971507195
STRØKEN BIL AS;VESTRE SVANHOLMEN 11;4313;SANDNES;BILGLASS;915577288
Nextcar AS;Puskhola 1 A;6012;ÅLESUND;BILVERKSTED01B, KONTROLLORGAN01B, KONTROLLORGAN01, BILVERKSTED01;935119847
Multiservice Overhalla AS;Mølnvegen 10;7863;OVERHALLA;PABYGGER, LYSUTSTYR, HJUL, EKSOSANLEGG, HENGERESPALOPSBREMSEANLEGG, BILVERKSTED01, KONTROLLORGAN01B;974474530
Lillehammer Bilskadesenter A/S;Industrigt. 58 B;2619;Lillehammer;BILSKADE;879940222
RAUFOSS BILGLASS HANS TØGER KASTET;ØVERBYVEGEN 23;2834;RAUFOSS;BILGLASS;894331992
 Bilia Drammen;INDUSTRIGT. 2;3414;LIERSTRANDA;BILVERKSTED01, KONTROLLORGAN01;976023188
AUTORIA SKI AS;Nygårdsveien  67;1400;SKI;BILVERKSTED01, KONTROLLORGAN01;968284916
PRØVEN BIL AS;Østre Rosten 8;7075;TILLER;BILVERKSTED01B, KONTROLLORGAN01B;915254209
Jans Motorsenter AS;Fossmovegen 2;1925;BLAKER;BILVERKSTED01, KONTROLLORGAN01;998442893
VASSLI DEKK;Laugsjøvegen 87;7970;KOLVEREID;HJUL;916343248
Håland Auto DA;Hatlestrandsvegen 526;5635;HATLESTRAND;BILVERKSTED01, KONTROLLORGAN01;971225947
Motor Forum AS;Svanholmen 23;4313;SANDNES;BILSKADE, BILVERKSTED01, KONTROLLORGAN01;944019502
Skala Service AS;Industriveien 9.;1473;LØRENSKOG;BILVERKSTEDALLE, KONTROLLORGAN04;993898864
ELGESETER BILLAKKERING;Vestre Rosten 108;7075;TRONDHEIM;BILSKADE;968392875
Hemnes Bil;Trinbergveien 7 B / Luteriet;1970;HEMNES;BILSKADE;993490482
Midt-Norge Maskinsenter AS avd. Rissa;Leira;7100;RISSA;TRAKTOR;936968678
AUTO 2000 SERVICE AS;HARDANGERVEGEN 535;5268;HAUKELAND;HJUL;998410045
ADAMS BILREPARASJONER AS;Nedbergeveien 11;5178;LODDEFJORD;KONTROLLORGAN01, BILVERKSTED01;915609651
HE-plan AS;Sivavegen 9;7820;SPILLUM;PABYGGER;929946774
Mosfjell Bil AS;Mosfjell;4760;BIRKELAND;BILVERKSTED01, KONTROLLORGAN01;984076703
MYRLAND   AUTO;Europaveien 447;3960;STATHELLE;BILVERKSTED01, KONTROLLORGAN01;917439702
MOBILE HAMAR AS;Kappvegen 1;2322;RIDABU;BILVERKSTED01, KONTROLLORGAN01;915981674
Team Verksted Møre AS avd. Lakk-Tech;Håhjem Næringspark;6260;SKODJE;BILSKADE, PABYGGER;935862957
Auto Konsult Trondheim AS;Øvre Flatåsveg 6;7079;Flatåsen;BILVERKSTED01, KONTROLLORGAN01;985483515
Nordic Last og Buss AS avd. Sortland;Verkstedveien 4;8400;Sortland;FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04;979463332
CARGLASS AS AVD RYEN;Ryensvingen 11;680;OSLO;BILGLASS;921573138
Bilskadesenteret Ringerike AS;Follumveien 64;3516;HØNEFOSS;BILSKADE;992293314
ALMÅS AUTO AS;Skoledalsveien 21;8890;Leirfjord;BILVERKSTED01, KONTROLLORGAN01;947313088
Hovland Bilverksted;Holmsåsveien 28;3070;Sande;BILVERKSTED01;985712557
TRAILER-BYGG A/S;Nordmoveien 49;3534;SOKNA;PABYGGER;936153844
Martins Bil;Flatinvegen 108;3800;BØ I TELEMARK;BILSKADE;980356906
Auto Teknikk Enebakk AS;Osloveien 717;1914;YTRE ENEBAKK;BILVERKSTED01, KONTROLLORGAN01;997850831
MIDTUN DEKK AS;SANDBREKKEVEGEN 100;5225;NESTTUN;HJUL;916657315
NAF Senter Bergen;Spelhaugen 4;5147;FYLLINGSDALEN;KONTROLLORGAN01;987372540
SKI SKADE OG LAKK AS;KRÅKSTADVEIEN 90;1400;SKI;BILSKADE;912392783
TOYOTA BILIA AS, AVD STJØRDAL;Tuftenvegen 2;7502;STJØRDAL;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;980648915
TORVIK AUTO AS;STRØMSVEIEN 223;668;OSLO;KONTROLLORGAN01B, BILVERKSTED01B;916636679
PRO SPEED Erling Kjelsvik;Ny Jord;6390;VESTNES;MOTORSYKKELOGMOPED;985254427
UNIBIL VERKSTED AS;HILLEVÅGSVEIEN 91;4016;STAVANGER;KONTROLLORGAN01, BILVERKSTED01;919527161
Din-Bil AS;Kornsiloveien 84;2316;HAMAR;BILVERKSTED01B, KONTROLLORGAN01B;984944705
HÆHRE MEKANISKE VERKSTED AS;TANGEN;3370;VIKERSUND;HJUL;934176472
BilXtra Lakselv AS;Laatasveien;9700;LAKSELV;BILVERKSTED01, KONTROLLORGAN01;990818398
INDRE ØSTFOLD BILGLASS SERVICE AS;SAGVEIEN 1A;1814;ASKIM;BILGLASS;993324558
TUNGBILSERVICE AS;HEIANE INDUSTRIOMRÅDE;5640;EIKELANDSOSEN;HJUL;994545094
NORSK SCANIA AS, avd. buss;Dalaneveien 51;4618;KRISTIANSAND S;BILVERKSTEDALLE, KONTROLLORGAN03;879263662
Dekkmann AS AVD. SANDMOEN 5845;Sandmoflata 4;7093;TILLER;HJUL;996005151
HEMNES BIL AS;Ranenget 1;8626;MO I RANA;BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04, FARTSSKRIVER;960852338
Sannan Bil AS;Arve Skjeflos vei 6;7713;Steinkjer;BILVERKSTED01B, KONTROLLORGAN01B;990465363
Auto Lisleby a.s.;Evjeveien 10;1618;Fredrikstad;BILVERKSTED01, KONTROLLORGAN01;981936132
Hurtigruta Carglass AS Kokstad;Kokstadveien 31 D;5257;KOKSTAD;BILGLASS;985758220
KROKEN CARAVAN DETALJ AS, avd. Bodø;Løding;8050;TVERLANDET;HENGERESPALOPSBREMSEANLEGG;997615603
Nardo Bil Orkanger AS;Tiltaksveien;7300;ORKANGER;BILVERKSTED01B, MOTORSYKKELOGMOPED, KONTROLLORGAN01B;961112001
NILS SØRHAUG AS;ØVREGATA 133;5527;HAUGESUND;KONTROLLORGAN01, BILVERKSTED01;916974523
Aksdal Bil AS;Eikeskogveien 24;5570;Aksdal;BILVERKSTED01B, KONTROLLORGAN01B;997129237
Flisa Servicesenter AS;Kaptein Dreyers vei 6;2270;Flisa;BILVERKSTED01B, KONTROLLORGAN01;874500062
MG SØR AS;STOREMYRLIA 14;4790;LILLESAND;HJUL;918824618
Toyota Østfold & Follo AS avd. Moss;Kvaenveien 1;1529;Moss;BILVERKSTED01, KONTROLLORGAN01;983650791
VITAR SERVICE AS;KILVIK;8178;HALSA;HJUL;975832384
LINKJENDAL BILFORRETNING A/S;Gamle Sørlandske 74;3766;SANNIDAL;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;932728982
Akershus Traktor AS;Arnkvernvegen 10;2320;FURNES;TRAKTOR;947340204
Team Verksted Øst AS avd. Fjeldhus;Karihaugveien 102;1086;OSLO;KONTROLLORGAN04, FARTSSKRIVER, BILVERKSTEDALLE;989460072
Thrane-Steen Skøyen AS;Drammensveien 161;277;OSLO;BILVERKSTED01, KONTROLLORGAN01;934625692
EV SERVICES AS;Kokstadveien 10;5257;KOKSTAD;BILVERKSTED01;921593465
Ådnekvam Mekaniske Verksted AS;Salhusvegen 55;5131;NYBORG;BILVERKSTED01B, KONTROLLORGAN01B;959604215
Okkenhaug Bil AS;Ranheimsvegen 1;7044;TRONDHEIM;BILVERKSTED01, KONTROLLORGAN01;941768415
Norsk Scania AS avd. Hønefoss;Dr. Ragnhildsv.1;3503;FLATTUM;FARTSSKRIVER, KONTROLLORGAN04, BILVERKSTEDALLE;879263662
NAF Senter Jessheim;Energivegen 16;2069;JESSHEIM;KONTROLLORGAN01;987372540
Midt-Norge Maskinsenter AS avd. Orkdal;Laksøra;7300;ORKANGER;TRAKTOR;936968678
GUMMISERVICE PRODUKSJON AS, avd. Trondheim;Bratsbergvegen 11;7037;TRONDHEIM;HJUL;918167013
HOLMEN MOTORSERVICE AS;Nytrøen Industriområde;2500;Tynset;BILVERKSTED01B, KONTROLLORGAN01B;992842008
ULLESTAD OLJE OG DEKKSERVICE AS;ÅRDALSTUNET;4137;ÅRDAL I RYFYLKE;HJUL, BILGLASS;911993430
Alta Billakkering AS;Aronnesveien 45;9514;Alta;BILSKADE, BILVERKSTED01B, KONTROLLORGAN01B;944601309
JOHANSEN ÅGE BILGLASSERVICE;KLEIVAVEGEN 9;5460;HUSNES;BILGLASS;970404376
Polaris Nordmøre AS;Øvre Surnadal;6653;ØVRE SURNADAL;MOTORSYKKELOGMOPED;984010907
A-K Maskiner AS avd. Tynset;Elvegaten 9C;2500;TYNSET;TRAKTOR;946468037
RIIS MONTASJE AS avd. 848 Hadeland Bilglass;Mohagalia 3;2770;JAREN;BILGLASS;921979436
DEKKSPESIALIST1 AS;SØRFLÅTVEIEN 6;4018;STAVANGER;HJUL;997868811
TruckNor Kristiansand AS;Mjåvannsveien 3;4628;Kristtiansand;FARTSSKRIVER, KONTROLLORGAN04, BILVERKSTEDALLE;980810208
K M JØRGENSEN TOTALSERVICE AS;Sundsvegen 35;4250;KOPERVIK;BILVERKSTED01, KONTROLLORGAN01B, BILVERKSTED01B;998196248
DEKKMANN AS avd. Nyhavna;Styrmannsgata 1 B;7042;TRONDHEIM;HJULUTRUSTNING;966242825
Eiksenteret Stokke, Vestfold Maskin AS;Melsomvikveien 7;3160;STOKKE;TRAKTOR;984736878
Vianor AS, avdeling Bergen Åsane;Liamyrane 14 A;5132;NYBORG;KONTROLLORGAN01, BILVERKSTED01;935429447
AUTOSKADESENTERET HM1 AS;RABEKKGATA 4;1523;MOSS;BILSKADE;998745659
Norsk Scania AS avd. Alta;Myggveien 3;9514;ALTA;FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04, ALKOLASVERKSTED;879263662
Haugens Bilservice AS;Kåshagvegen 178;2385;BRUMUNDDAL;BILVERKSTED01, KONTROLLORGAN01;976218698
VIANOR AS avd. Notodden;Semsveien 38;3676;NOTODDEN;BILVERKSTED01, HJUL, KONTROLLORGAN01;935429447
Wist Last & Buss AS;Furene;6100;VOLDA;FARTSSKRIVER, BILVERKSTED01B, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04;958315120
Star Autoco AS avd. Skedsmo;Trondheimsveien 62;2019;SKEDSMOKORSET;BILVERKSTED01B, KONTROLLORGAN01B, FARTSSKRIVER;925905526
Team Verksted Nord AS;Skattørveien 90;9018;Tromsø;FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04;976891783
CHRISTOFFERSEN KAROSSERI;KONNERUDGATA 73;3046;DRAMMEN;BILSKADE;981463234
Vianor AS, avd Namsos;Akslastien 1;7820;SPILLUM;BILVERKSTED01, KONTROLLORGAN01, HJUL;935429447
RYDS BILGLASS AS;Åsamyrane 82;5116;ULSET;BILGLASS;913387783
NAF Senter Elverum AS;Vindheiavegen 27;2406;Elverum;KONTROLLORGAN01;987372540
Skotselv Karosseri ;Skotselv Næringspark;3330;SKOTSELV;BILSKADE;985191654
ASTERO AS;MARSVEGEN 4;6419;MOLDE;LYSUTSTYR, HENGERESPALOPSBREMSEANLEGG;919635657
ETNE BILSERVICE AS;Tongane 65;5590;ETNE;BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01;917198675
SANNTO AS;Strandvegen 79;6065;ULSTEINVIK;HJUL, HENGERESPALOPSBREMSEANLEGG, LYSUTSTYR;911632837
Bil-Service AS, avd. Bilskadeverksted;Nygårdsveien 79;3221;SANDEFJORD;BILSKADE;975933601
SANNIDAL MOTOR  AS;Krokenveien 197;3766;SANNIDAL;BILVERKSTED01;982812410
SVENDSEN BILVERKSTED FRANK ARILD HINDERAKER-SVENDSEN;POSTVEGEN 52;4280;SKUDENESHAVN;KONTROLLORGAN01B, BILVERKSTED01B;921366914
RIIS MONTASJE AS;Verkstedveien 11;6517;KRISTIANSUND N;BILGLASS;921979436
BØ AUTO AS;Bøgata 111;3800;Bø i Telemark;BILVERKSTED01, KONTROLLORGAN01;998510880
Hunderi Maskin;Hunderi;6887;LÆRDAL;TRAKTOR;985344809
Taugbøl Bil og Maskin;Gaupevegen 1A;2211;KONGSVINGER;BILVERKSTED01, KONTROLLORGAN01;871219222
GROMSTAD BIL & BÅT AS;Gamle Kragerøvei 24;3770;KRAGERØ;BILVERKSTED01, KONTROLLORGAN01, BILSKADE;983335470
HANDICARE ASA;Stanseveien 27;976;OSLO;PABYGGER;965395830
TEMPE DEKKSERVICE AS;LEIRFOSSVEGEN 45;7038;TRONDHEIM;HJUL;981622200
YAMAHA MOTOR EUROPE N.V., FILIAL NORGE;SJØSKOGENVEIEN 5;1407;VINTERBRO;MOTORSYKKELOGMOPED;914282241
Bilskadesenteret Voss AS;Storviki 2;5710;Skulestadmo;BILSKADE, PABYGGER;988196282
Kverneland Bil AS avd. Ford Bilhuset;Vestre Svanholmen 11;4313;SANDNES;BILVERKSTED01B, KONTROLLORGAN01B;977047684
TUNE KAROSSERI A.S.;Lundsvei 11/13;1710;Sarpsborg;BILVERKSTED01, KONTROLLORGAN01;921342624
VESTLANDSKE TRAILER IMPORT AS;MOSTERØYVEIEN 86;4156;MOSTERØY;BILVERKSTED02, BILVERKSTED01, BILVERKSTED03, PABYGGER;990942242
Kjell Ore AS;Oreveien 21;4560;VANSE;BILVERKSTED01B, HJULUTRUSTNING, KONTROLLORGAN01;951346780
DEKKSERVICE VOLDA AS;Morkamyra 23;6105;VOLDA;HJUL;915095909
Humberset Bil-og Mek Verkstad A/S;Hamnegata 37;6100;Volda;BILVERKSTED01B, MOTORSYKKELOGMOPED, KONTROLLORGAN01B, BILVERKSTED01, KONTROLLORGAN01;930552356
MONA VEKST AS;ÅSAVEGEN 157;6823;SANDANE;HJUL;959799113
GLASSPESIALISTEN AS;SLEMMESTADVEIEN 498;1391;VOLLEN;BILGLASS;985231761
A-K maskiner AS avd. Ørsta;Industriveien;6150;ØRSTA;TRAKTOR;946468037
HAJDAREVIC AUTO-SHINE VORMSTAD BILPLEIE;ORKDALSVEIEN 1505;7327;SVORKMO;HJUL;919619570
Påbygg & Sveiseservice AS;Arabergveien 2;4050;SOLA;PABYGGER;984066325
RUTERKNEKT BILGLASS SARPSBORG SINDI;LUNDS VEI 9;1710;SARPSBORG;BILGLASS;998550807
Støren Bilsenter AS;Svartøya 6;7290;STØREN;BILVERKSTED01, KONTROLLORGAN01;996209008
Auto 1 Elnesvågen AS;Eidem;6440;ELNESVÅGEN;BILVERKSTED01B, KONTROLLORGAN01B;995419963
Frydenbø Bilsenter AS avd. Sandane;ÅSAVEGEN 159;6823;SANDANE;BILVERKSTED01, KONTROLLORGAN01;967149098
CARGLASS AS;Kanalveien 88;5068;BERGEN;BILGLASS;985758220
Carfix Paradis AS;Sandbrekkeveien 18;5231;Bergen;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;982075912
Solaris Norge AS;Leiraveien 12;2000;LILLESTRØM;BILVERKSTED03, KONTROLLORGAN03;889573732
Roa Auto AS;Dronning  Åstas gt. 16 ;3511;HØNEFOSS;KONTROLLORGAN01, BILVERKSTED01;919656565
Service 24 AS  (Torp Bilservice);Roald Amundsensvei 199B;1659;TORP;BILVERKSTED01, KONTROLLORGAN01;911970007
MALKENES MEKANISKE;VESTLIVEGEN 14;3570;ÅL;HENGERESPALOPSBREMSEANLEGG;918474552
BILXPERTEN BOCSH AS;Persveien 32;581;OSLO;BILVERKSTED01B, KONTROLLORGAN01B;998657032
SANDE AUTO  as avd. Mazda;Liamyrane 6;5132;NYBORG;BILVERKSTED01, KONTROLLORGAN01;946510939
Sigvartsen AS;Solørvegen 89;2260;KIRKENÆR;BILVERKSTED01, KONTROLLORGAN01;964690774
Toyota Bilia Horten;Strandparken 3;3187;HORTEN;KONTROLLORGAN01, BILVERKSTED01;980648915
Maskin & Auto Service AS;Torneroseveien 9;4315;SANDNES;FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, PABYGGER, KONTROLLORGAN04;947820370
GEIR SOLSTAD VERKSTED;Å i Meldal;7335;JERPSTAD;BILSKADE;959762791
AUTOGLASS AS avd Oslo;Ole Deviks vei 26;666;OSLO;BILGLASS;968552732
Bjarkøy Bil & Mek;Nergårdshamn;9426;Bjarkøy;BILVERKSTED01, KONTROLLORGAN01;970424512
BJØRKELANGEN GLASS AS;NORDRE BLIKSRUD VEI 4;1940;BJØRKELANGEN;BILGLASS;911763133
Techline Bilelektro Klevengen;Fjellhammerveien 1;2743;HARESTUA;BILELEKTRODRIVSTOFFANLEGG, BILGLASS;984738919
HAUKÅS ATV AS;EIDEMSBAKKEN 1;6440;ELNESVÅGEN;MOTORSYKKELOGMOPED;999310044
Gule og Skrivarhaug bilverksted AS avd karrosseri;Øvre Gule;6430;BUD;BILSKADE, HJULUTRUSTNING;983871143
Etne Service Senter AS;Haukelivegen 945;5590;ETNE;BILVERKSTED01B, KONTROLLORGAN01B;978669581
Riisland Biloppretting;Gamle Vestvegen 15;4865;Åmli;BILSKADE;975967352
RYKKINN BIL AS;GAMLE LOMMEDALSVEI 113;1348;RYKKINN;BILVERKSTED01, KONTROLLORGAN01;916733615
Albjerk Bil Drammen AS Skadeavdeling;Ing. Rybergsgt. 94;3027;DRAMMEN;BILSKADE;983222870
KOLLSTAD LAKK & SANDBLÅSING AS;Ygnevegen 38;2943;ROGNE;BILVERKSTED01;997104331
Odd Kolstad AS;Torgårdstrøa 16;7072;HEIMDAL;PABYGGER, KONTROLLORGAN04, BILVERKSTED01B, BILVERKSTED02, BILVERKSTED03;912551326
Autoservice Gjøvik AS;Mattisrudsvingen 5;2827;HUNNDALEN;BILVERKSTED01, KONTROLLORGAN01;912879038
AUTOMEK A/S ;Strandvegen 10;6200;STRANDA;BILVERKSTED01, KONTROLLORGAN01;879583772
Rana Bilservice AS;Søderlundmyra 32;8622;Mo i Rana;BILVERKSTED01;995504456
Vianor AS, avd Sandefjord;Nygårdsveien 85;3221;SANDEFJORD;BILVERKSTED01, KONTROLLORGAN01;935429447
DEKK OG DELER BILVERKSTED SOTRA AS;TROLLHAUGMYRA 10;5353;STRAUME;BILVERKSTED01, KONTROLLORGAN01;919510447
Bil & Maskinservice Nøtterøy AS;Kirkeveien 390;3143;Kjøpmanskjær;BILVERKSTED01B, KONTROLLORGAN01B;887061602
Roar Groven Jensen;Tillerbruveien 157;7092;TILLER;BILSKADE;870923392
Jan L. Westby Karosseri & Lakk AS;Hvitstenveien 262;1540;VESTBY;BILVERKSTED01, BILSKADE;993120421
NETTBUSS AS, avd. Bjørkelangen;Stasjonsveien 18;1940;BJØRKELANGEN;BILVERKSTEDALLE, FARTSSKRIVER, KONTROLLORGAN04;976948394
ROVIK MC AS;FABRIKKVEIEN 5;4033;STAVANGER;MOTORSYKKELOGMOPED;928634000
Sportivo A/S;Sandebuktveien 115;3070;SANDE I VESTFOLD;BILSKADE;993140546
Norstrand Bil AS;Sjøvollan 1;9040;NORDKJOSBOTN;BILVERKSTED01, KONTROLLORGAN01;917328358
STEINSPRUTEN BILGLASS AS AVD FREDRIKSTAD;Stabburveien 10;1617;FREDRIKSTAD;BILGLASS;997719670
TELEMARK SALMAKERVERKSTED SIGURDSEN;BATALJONVEIEN 25;3734;SKIEN;PABYGGER;983885713
DEKK1 AS;Briskeveien 15-3229 Sandefjord;3229;SANDEFJORD;HJUL;979579292
Autofiks AS;Forusparken 1;4031;STAVANGER;BILVERKSTED01, KONTROLLORGAN01;997334078
Søgne Bil A/S;LINNEGRØVAN 17;4640;SØGNE;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;969045826
Akershus Traktor AS;Industriveien 16;2050;JESSHEIM;TRAKTOR;947340204
PIT STOP LUNDE AS;STRENGENVEGEN 33;3825;LUNDE;HJUL;914583187
STOA BIL AS;ÅSBIEVEIEN 16;4848;ARENDAL;KONTROLLORGAN01, BILVERKSTED01;912490890
FJELD BILVERKSTED AS;HALDENVEIEN 2;1639;GAMLE FREDRIKSTAD;KONTROLLORGAN01, BILVERKSTED01;818640552
Åkra Bilimport AS;Rådhusvegen 1;4270;ÅKREHAMN;BILVERKSTED01B, KONTROLLORGAN01, KONTROLLORGAN01B;918407820
Funnemark AS, avd. Notodden;Tuvenbøygen 1;3676;Notodden;BILVERKSTED01B, KONTROLLORGAN01B, BILSKADE;911876493
Botnetank A/S;Eidsfossveien 54;3095;HOLMESTRAND;PABYGGER;971505621
TOTEN BENSIN AS;KRABYENGA;2850;LENA;HJUL;995639874
Haug Karrosseri;Solbråveien 2;1383;Asker;BILSKADE;986336923
Nidarvoll Bil AS;Magnus Lagabøters veg 4;7047;TRONDHEIM;BILVERKSTED01;971221836
Etac Bil AS avd. Bergen;Kokstaddalen 45;5257;KOKSTAD;BILVERKSTED01, PABYGGER;999065465
Otter's Biloppretting;Semsveien 41 B;3676;NOTODDEN;BILSKADE, BILVERKSTED01B, KONTROLLORGAN01B;854018612
RøhneSelmer AS, avdeling Stanseveien IVECO;Stanseveien 12;975;OSLO;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04;933823970
SPZ BILVERKSTED AS;RAVNANGERVEGEN 187A;5308;KLEPPESTØ;KONTROLLORGAN01, BILVERKSTED01;921378912
HORNE BIL;HORNEVEIEN;3300;HOKKSUND;BILSKADE;971030453
Moe Auto;Lagårdsveien 127;4011;STAVANGER;BILVERKSTED01;988897043
CARGLASS AS, avd. Hadeland;Sørvangsbakken 23;2770;JAREN;BILGLASS;985758220
BODAHL-JOHANSEN AS avd MYSEN;Ramstadveien 13;1850;MYSEN;HJUL;965308032
KJELLERHOLEN BILVERKSTED AS;Fetveien 35;2007;KJELLER;BILVERKSTED01, KONTROLLORGAN01;820246152
Klokkarstua Auto AS;Mølleveien 4 Klokkarstua;3490;KLOKKARSTUA;BILVERKSTED01, KONTROLLORGAN01;998039231
Autoria Kolboten AS;Tømteveien 10;1410;KOLBOTN;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;953581388
A-K maskiner AS avd. Vigeland;Hestehagen industriområde;4520;LINDESNES;TRAKTOR;946468037
Høyveg Mekaniske Verksted AS;Høyveg 23;2662;DOVRE;BILVERKSTED01B, MOTORSYKKELOGMOPED, TRAKTOR, KONTROLLORGAN01B;940471079
MIKKELRUD BIL AS;INDUSTRIVEIEN 1;1640;RÅDE;BILVERKSTED01;998398517
Tromsø Billakkering AS;Ringveien 650;9017;TROMSØ;BILSKADE;942037538
DØLBAKKENS BILVERKSTED;Vestsiveien 41;2401;Elverum;BILVERKSTED01;971218975
RENDALEN SERVICESENTER AS;Gamle kongevei 2443;2485;RENDALEN;HENGERESPALOPSBREMSEANLEGG, EKSOSANLEGG, LYSUTSTYR, HJUL, BILGLASS;986361448
RONGJA BIL OG MC DA;C/O ODDBJØRN SKREDDERHAUG;6391;TRESFJORD;HJUL;996222713
HVITTINGFOSS AUTO AS;Gravdalsveien 100;3647;HVITTINGFOSS;BILVERKSTED01, KONTROLLORGAN01;921350228
CENCOM AS;SPIREAVEIEN 18;580;OSLO;ALKOLASVERKSTED;953151553
INGEBRIGTSEN BIL;Garås;3623;LAMPELAND;BILVERKSTED01;970344535
Norsk Scania AS avd. Borgeskogen;Borgeskogen 44;3160;TØNSBERG;FARTSSKRIVER, BILVERKSTED01, BILVERKSTED03, TRAKTOR, KONTROLLORGAN04, ALKOLASVERKSTED;879263662
Motor Forum AS;Ingvald Ludvigsengate 21;3027;DRAMMEN;BILVERKSTED01, KONTROLLORGAN01, BILSKADE;995515784
TOYOTA HADELAND;Garveriveien 3;2713;ROA;KONTROLLORGAN01, BILVERKSTED01;945800232
Elverum Servicesenter AS;Torolf Storsveens vei 6;2406;ELVERUM;BILVERKSTED01B, KONTROLLORGAN01B;993804231
Toyota Romerike AS avd. Eidsvoll;Vognvegen 27;2072;DAL;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;922754136
RIIS MONTASJE AS avd 803 Sandvika;Engervannsveien 23;1337;SANDVIKA;BILGLASS;921979436
Ringen Bilverksted AS;Waldemar Thranes gate 86 C;175;OSLO;BILVERKSTED01, KONTROLLORGAN01;912849406
HÆHRE & ISACHSEN VERKSTED AS;TANGEN;3370;VIKERSUND;BILVERKSTED03;934176472
BenTro Bil AS;Rombaksveien 45;8517;NARVIK;BILVERKSTED01, KONTROLLORGAN01;974496313
Laastad & Co;Hjøllo;5750;ODDA;BILVERKSTED01, KONTROLLORGAN01;975941264
Voll Motor;Tveitvegen 78;5574;SKJOLD;BILVERKSTED01, KONTROLLORGAN01;991724559
Øyes Karosseri AS;Skanseveien 7;6507;KRISTIANSUND N;BILSKADE;911877082
FRYDENBØ BILSKADE AS Avd. Kristiansand;Barstøveien 40;4636;KRISTIANSAND S;BILSKADE;921903677
Felleskjøpet Agri SA, avd. Steinkjer;Havnegt. 33;7714;STEINKJER;HENGERESPALOPSBREMSEANLEGG, TRAKTOR;911608103
AUTOCENTERET AS avd 10;ANKENESVEIEN 148;8520;ANKENES;BILVERKSTED01B, KONTROLLORGAN01B, BILVERKSTED03, BILVERKSTED02;976263782
VIDAR HEFTE BIL & MEK. AS;OBERST BULLS VEG 23;5705;VOSS;BILGLASS, HJUL;915095526
MØLLER BIL STORHAMAR AS;Aslak Bolts gate 41;2316;HAMAR;BILVERKSTED01, KONTROLLORGAN01;979450796
MELDAL VG. SKOLE; Løkkenveien 117;7332;LØKKEN VERK;BILVERKSTED01;817920632
STRAUMEN BIL A/S;Skorgeneset 35;6390;Vestnes;BILVERKSTEDALLE, BILSKADE, PABYGGER, KONTROLLORGAN04, FARTSSKRIVER;951999415
VIKING DEKK AS;BEKHUSKAIEN 1 , BYGG 1;4014;STAVANGER;HJUL;920232264
FØRDE BILSALG AS;ØYRANE 1;6800;FØRDE;BILVERKSTED01, KONTROLLORGAN01;912098923
Tesla Motors Norway AS, avd. Skøyen;Drammensveien 130;277;OSLO;BILVERKSTED01;997433173
Sentrum Bilservice AS;Kristan Augustgate 6;1776;HALDEN;BILVERKSTED01, KONTROLLORGAN01;995843803
Skogen Bil AS;Industrivn. 42;2680;Vågå;BILVERKSTED01, KONTROLLORGAN01;983629547
Autoservice AS;Lufthavnveien 9;8370;LEKNES;TRAKTOR, KONTROLLORGAN01B, BILVERKSTED01B;981613694
Onsøy Auto-Service;Kjennveien 31;1623;GRESSVIK;BILVERKSTED01;970936904
Selje Auto AS;Selje sentrum, Nabben;6740;SELJE;BILVERKSTED01, KONTROLLORGAN01;912068684
LEVANGER BILELEKTRO AS;HELGA DE FAGRES GATE 12;7600;Levanger;BILVERKSTED01B, BILELEKTRODRIVSTOFFANLEGG, KONTROLLORGAN01B;993498661
Motorhuset Borkenes AS;Tverrveien 1;9475;Borkenes;BILVERKSTED01B, KONTROLLORGAN01;941106609
Andersen bil AS;Mellombygdveien 138;9321;MOEN;KONTROLLORGAN01, BILVERKSTED01;920543863
TORLAND MASKIN AS;TORLANDSVEGEN 190;4365;NÆRBØ;TRAKTOR;989423940
Lundanes Bil A/S;Emblem;6013;ÅLESUND;BILVERKSTED01;984927037
Rettedal Bilkontroll AS;Kleppvegen 102;4050;Sola;KONTROLLORGAN01;982511321
